HD,Name,TIC,V,Teff,L,e.L.,rho,e.rho.,Dnu,eps,vsini,e.vsini.,F0,logg,Teff_mast,e_logg,e_Teff_mast,stellar_radius,e_stellar_radius,L_mast,dnu_muhz,ID
48985.0,,148228220,9.04,7710.0,11.6,0.54,0.25,0.03,7.25,1.56,40.0,4.0,18.56,4.15451,7754.0,0.0808854,137.469,1.87502,0.0549497,11.4501,83.91203703703704,TESS2018349182459-S0006-0000000148228220-0126-S_LC_DET
50153.0,,78492107,7.03,7820.0,9.15,0.39,0.36,0.05,6.85,1.6,,,17.81,4.31333,7991.0,0.0764187,129.278,1.60379,0.0461005,9.449195,79.2824074074074,TESS2019006130736-S0007-0000000078492107-0131-S_LC_DET
54711.0,,284348793,9.01,8200.0,9.22,0.45,0.44,0.06,7.08,1.65,50.0,2.0,18.762,4.36116,8008.0,0.0742695,140.445,1.51786,0.0436432,8.536015,81.94444444444444,TESS2019006130736-S0007-0000000284348793-0131-S_LC_DET
55863.0,,294157254,9.06,7650.0,7.8,0.38,0.38,0.05,6.92,1.57,99.0,5.0,17.7844,4.32904,8003.0,0.0721666,137.106,1.57505,0.0482362,9.16838,80.09259259259258,TESS2018349182459-S0006-0000000294157254-0126-S_LC_DET
59104.0,,278179191,8.5,7360.0,6.15,0.26,0.41,0.05,6.96,1.67,,,18.5832,4.31951,7715.0,0.0773942,142.829,1.54637,0.0457688,7.632501,80.55555555555556,TESS2019006130736-S0007-0000000278179191-0131-S_LC_DET
59594.0,V349Pup,112484997,7.32,7800.0,8.06,0.34,0.4,0.05,6.65,1.61,,,17.3565,4.2798,7703.0,0.0776235,126.493,1.61427,0.0482287,8.26579952,76.9675925925926,TESS2019006130736-S0007-0000000112484997-0131-S_LC_DET
67688.0,,306773428,7.66,,,,,,7.04,1.59,,,18.2336,4.25396,7975.0,0.0728265,145.016,1.7128,0.051588,10.6913137,81.48148148148148,TESS2018319095959-S0005-0000000306773428-0125-S_LC_DET
70510.0,,388351327,6.75,,,,,,7.16,1.68,94.0,10.0,19.1888,4.19345,7400.0,0.0795071,127.261,1.72287,0.0607713,8.0191555,82.87037037037037,TESS2019058134432-S0009-0000000388351327-0139-S_LC_DET
75040.0,,176400189,9.05,,,,,,6.64,1.58,24.0,3.0,17.1312,3.92691,7202.0,0.0913521,142.357,2.28769,0.119186,12.6853313,76.85185185185185,TESS2019032160000-S0008-0000000176400189-0136-S_LC_DET
78198.0,,332516661,9.5,7340.0,7.79,0.42,0.31,0.04,5.9,1.65,45.0,1.0,15.635,4.23157,7600.0,0.0785512,135.712,1.68652,0.0564799,8.549344,68.28703703703704,TESS2019032160000-S0008-0000000332516661-0136-S_LC_DET
89263.0,HR4043,463556278,6.22,,,,,,7.02,1.71,100.0,7.0,19.0242,,,,,,,,81.24999999999999,TESS2019058134432-S0009-0000000463556278-0139-S_LC_DET
99506.0,,287347434,8.36,7970.0,7.58,0.37,0.48,0.05,7.05,1.59,26.0,2.0,18.2595,4.35714,7949.0,0.0743423,126.879,1.51698,0.0432537,8.277647,81.59722222222221,TESS2019058134432-S0009-0000000287347434-0139-S_LC_DET
220811.0,,327996759,6.91,,,,,,6.04,1.82,261.0,40.0,17.0328,,7527.0,,,2.53666,,,69.9074074074074,TESS2018234235059-S0002-0000000327996759-0121-S_LC_DET
222496.0,,316806320,9.48,,,,,,5.63,1.71,43.0,2.0,15.2573,4.14861,7656.0,0.0843631,140.979,1.86704,0.0932866,10.7897482,65.16203703703704,TESS2018234235059-S0002-0000000316806320-0121-S_LC_DET
223011.0,,224284988,6.32,7830.0,10.49,0.44,0.31,0.04,5.93,1.68,,,15.8924,4.21199,7814.4,0.083408,141.88,1.76928,0.0545402,10.5164557,68.63425925925925,TESS2018234235059-S0002-0000000224284988-0121-S_LC_DET
290750.0,,11199304,9.77,9170.0,19.14,1.13,0.35,0.05,5.96,,,,,4.27703,8670.0,0.0725368,267.13,1.77317,0.0585477,16.0055256,68.98148148148148,TESS2018349182459-S0006-0000000011199304-0126-S_LC_DET
290799.0,V1790 Ori,11361473,10.67,8780.0,13.21,0.98,0.42,0.06,7.55,1.65,,,20.0075,4.47037,9692.0,0.0858297,732.909,1.51486,0.0652538,18.2428761,87.38425925925925,TESS2018349182459-S0006-0000000011361473-0126-S_LC_DET
,SAO 150524,143381070,9.46,8030.0,7.88,0.39,0.48,0.06,7.63,,,,,4.43352,8178.0,0.0746976,158.335,1.42129,0.0446382,8.14045048,88.31018518518518,TESS2018319095959-S0005-0000000143381070-0125-S_LC_DET
,SAO 249859,349645354,9.79,7070.0,7.99,0.38,0.23,0.04,5.34,1.69,,,14.3646,4.11525,7401.0,0.0842911,140.628,1.88518,0.0680654,9.60642,61.80555555555555,TESS2018319095959-S0005-0000000349645354-0125-S_LC_DET
,TYC 85-867-1,431695696,9.63,7961.0,8.85,0.57,0.4,0.05,7.26,1.61,,,18.9486,4.34315,8072.0,0.0747622,120.391,1.56127,0.0552764,9.323387,84.02777777777777,TESS2018319095959-S0005-0000000431695696-0125-S_LC_DET
,TYC 5945-497-1,124381332,9.69,8270.0,10.02,0.53,0.42,0.05,7.45,1.61,178.0,37.0,19.4445,4.37176,8261.0,0.0753561,133.174,1.53781,0.0497186,9.922775,86.22685185185185,TESS2018349182459-S0006-0000000124381332-0126-S_LC_DET
,TYC 8533-329-1,260161111,10.7,8370.0,9.33,0.51,0.48,0.06,7.27,,100.0,30.0,,4.39985,8149.0,0.0749922,143.032,1.47413,0.0527111,8.63346,84.1435185185185,TESS2019058134432-S0009-0000000260161111-0139-S_LC_DET
,TYC 8564-537-1,340358522,10.59,7490.0,7.3,0.36,0.37,0.05,7.15,1.54,,,18.160999999999998,4.32659,7917.0,0.0722959,137.057,1.56717,0.0452136,8.693004,82.75462962962963,TESS2019032160000-S0008-0000000340358522-0136-S_LC_DET
187547.0,,KIC7548479,8.4,7470.0,6.74,0.29,0.4,0.05,7.0,1.61,10.0,2.0,18.27,,,,,,,,81.01851851851852,
,TYC 3132-1272-1,KIC8415752,10.67,7780.0,9.83,0.52,0.32,0.05,6.2,1.63,18.0,1.0,16.305999999999997,,,,,,,,71.75925925925925,
,,KIC9450940,12.68,7920.0,8.59,0.58,0.41,0.06,6.15,1.67,10.0,1.0,16.4205,,,,,,,,71.18055555555556,
